model,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,no_of_owner,omv,arf,accessories,model_make_id,model_name,model_trim,model_year,model_body,model_engine_cyl,model_engine_fuel,model_drive,model_transmission_type,model_seats,model_weight_kg,model_fuel_cap_l
BMW 4 Series 420i Gran Coupe Sunroof,42800,23000,100000,1997,135,30-Jan-2015,0.85,3,42249,46149,M-Sport body kit. Sunroof. Electric seats. Android player with car player and reverse camera. Drive mode select. M steering and more.,10.0,4 Series,21277.0,2015.0,Coupe,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,4.0,1585.0340136054422,59.803
Volvo S60 T2,44600,14900,105500,1498,90,27-Apr-2016,2.01,1,24806,26729,Digital speedo. Bluetooth connect. Park assist. Electric seats. LED day lights. Paddle shifters. Paddle shifters. Multi function steering. Auto lights,88.0,S60,21009.0,2016.0,Sedan,I5,premium unleaded (recommended),all wheel drive,6-speed shiftable automatic,5.0,1600.0,67.373
Porsche Cayenne 3.6A Tip ,182800,18270,120000,3598,220,27-Jun-2014,10.0,4,79909,115837,"Keyless Entry/Start/Stop, Paddle Shifter, Auto Headlight, Driver's Electric Seat, Knockdown Rear Seats, Electric Tailgate, Bluetooth.",339.0,Cayenne,25796.0,2014.0,Sport Utility Vehicles,6.0,Premium Unleaded (Required),All Wheel Drive,Manual,5.0,1994.557823129252,99.924
Infiniti Q60 Coupe 2.0A T,90800,20800,99000,1991,155,30-Jun-2017,3.27,2,38231,45524,360 degree camera park assist. Electric seats. Bluetooth with navi. Drive mode select. Adaptive steering. Paddle shifters. Anti collision. Sunroof.,239.0,Q60,16665.0,2017.0,Coupe,I4,premium unleaded (recommended),rear wheel drive,7-speed shiftable automatic,4.0,1690.249433106576,75.7
Infiniti Q50 3.0T Red Sport 400,88800,22160,86000,2997,298,30-Dec-2016,2.77,2,44787,54702,6/2 brake kit. Works rims. Adaptive suspension. Drive mode select. Dual media screen. Lane departure with active cruise control. Paddle shift.,45.0,Q50,19635.0,2016.0,Sedan,I4,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1662.5850340136053,75.7
Honda HR-V 1.5A LX,50800,15130,105500,1496,96,29-Nov-2016,2.68,1,23772,20281,Bluetooth with reverse camera. Cruise control. Digital climatic aircon. ISOFIX ready. City brake active system. Paddle shift.,40.0,HR-V,19534.0,2016.0,SUV,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1322.9024943310658,49.962
BMW 2 Series 216i Gran Tourer Luxury,85800,16040,95000,1499,75,28-Jun-2018,4.26,2,30479,34671,"Luxury highest spec model, Auto LED/DRL headlight, Auto/kick tailgate. Park assist with camera, Ambient Lighting, 2 x Electric seats. Rear ac.",140.0,2 Series,12364.0,2018.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Mercedes-Benz A-Class A200 Style,66800,19060,130000,1595,115,1-Mar-2017,2.93,1,24675,21545,Park assist. Reverse camera. Bluetooth connect. Climatic aircon. Paddle shifters. Cruise control. Multi function steering. Start/stop function.,301.0,CLA-Class,17178.0,2017.0,Sedan,I4,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,1564.625850340136,56.01800000000001
Mazda 3 1.5A Deluxe Sunroof,44000,15360,88620,1496,88,24-Aug-2016,2.42,2,18622,13622,Sunroof. Electric seats.Headlight display.Bluetooth connect with navigation. HID LED headlights.Original leather interior.Climatic digital ac and more,408.0,CX-3,19992.0,2016.0,SUV,I4,regular unleaded,all wheel drive,6-speed shiftable automatic,5.0,1338.7755102040817,45.041500000000006
BMW X1 sDrive18i,121988,17960,59446,1499,103,18-Oct-2019,5.57,2,36901,43662,"BMW iDrive, Bluetooth, driver seat with memory, kickboot, front and back PDC with rear camera, adjustable rear seats, 17"" sports rims.",147.0,X1,9395.0,2019.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1606.8027210884354,60.938500000000005
BMW 2 Series 218i Gran Tourer,97700,18980,67643,1499,100,27-Apr-2018,4.01,2,34147,39806,"Electric memory seat, sports rims, rear aircon, knockdown rear seat, fog light.",140.0,2 Series,12364.0,2018.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Mazda 3 HB 2.0A Sport Sunroof,36500,16070,106000,1998,121,30-Nov-2015,0.69,2,18670,18670,Sunroof. Electric seats.Headlight display.Bluetooth connect with navigation.HID LED headlights.Original leather interior.Climatic digital AC and more.,286.0,3,22835.0,2015.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1293.424036281179,49.962
Porsche Macan 2.0A PDK Panoramic Roof ,205800,20570,65200,1984,174,6-Feb-2015,10.0,2,61901,83422,Sunroof. Option spider rims. Electric seats. Paddle shifters. Bluetooth connect. Drive mode select. Auto tailgate. Electric steering adjust and more.,341.0,Macan,23226.0,2015.0,SUV,V6,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1864.8526077097504,74.94300000000001
Hyundai Ioniq Hybrid 1.6A DCT Sunroof,104800,14900,55489,1580,96,13-Jul-2020,6.3,2,28270,21578,"Leather/electric/memory/knockdown seat, blind spot assist, retractable side mirror, Bluetooth, reverse camera/sensors, multi function steering wheel.",225.0,Ioniq Hybrid,7637.0,2020.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed automated manual,5.0,1358.7301587301588,45.041500000000006
BMW 3 Series 318i Shadow Edition,86000,19060,59840,1499,100,3-Nov-2017,3.61,2,33671,34140,"LED digital speedo meter, headlight and fog light, 18"" sports rims, sport leather seats, keyless entry.",9.0,3 Series,15388.0,2017.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1528.344671201814,59.803
BMW 5 Series 520i,108800,21100,83000,1998,135,26-Dec-2017,3.76,1,47763,58869,"BMW touch command, GPS, soft closing, connected drive, auto adaptive LED/DRL headlight, 18"" s/rims, wireless charging, 360 view camera, auto/kick boot",142.0,5 Series,15416.0,2017.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1698.8662131519277,68.13
Toyota Supra 2.0A SZ-R,225000,28460,31845,1998,190,22-Dec-2020,6.75,3,52012,65622,"Keyless, 18"" rims, dual chrome exhaust pipe finisher, 8.8"" Toyota touch multimedia system, dual zone automatic air conditioning, paddle shifts",368.0,GR Supra,8892.0,2020.0,Coupe,I6,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,2.0,1540.5895691609976,51.8545
Mercedes-Benz C-Class C200 Avantgarde,83800,21220,110000,1991,135,3-Feb-2017,2.86,2,42032,45845,Well kept condition. Servicing maintained by reputable workshop with servicing records. Trade in welcome. Flexible financing available. Viewing by appointment. Don't miss out this unit. Call now for an appointment.,300.0,C-Class,17168.0,2017.0,Coupe,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,4.0,1784.580498866213,65.859
BMW X4 xDrive28i Sunroof,61800,23770,134405,1997,180,26-Jun-2015,0.26,3,50932,63678,"Lowest asking depreciation on the market! Well maintained unit, shiny and polished exterior, clean and tidy interior. Pre-purchase inspection most welcome for an additional peace of mind. Viewing is by appointment only please, thank you!",149.0,X4,21349.0,2015.0,SUV,I4,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,1873.015873015873,66.9945
Audi A4 1.8A TFSI MU Attraction,39800,15190,160000,1798,125,30-Nov-2015,0.69,1,29466,28253,"Rare one owner unit! Serviced at renowned Audi workshop. Drive with peace of mind and confidence! Full loan available, high approval rates! Pre purchase inspections most welcome. Viewing is by appointment only please, thank you.",104.0,A4,21144.0,2015.0,Sedan,I4,premium unleaded (required),front wheel drive,continuously variable-speed automatic,5.0,1594.5578231292516,60.938500000000005
BMW 6 Series 630i Gran Turismo M-Sport Sunroof,198800,26330,53700,1998,190,31-Jan-2020,5.86,1,64914,88846,M-Sport. Huge cabin. Electric passenger seats. Multi-control steering with paddle shift. Head-up display. Sunroof. Keyless access. Soft-close doors.,151.0,X6,6562.0,2020.0,SUV,V8,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,2437.641723356009,82.8915
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,199800,21860,46000,1496,140,13-Apr-2022,8.06,1,39388,47144,"Full digital 12.3"" instrument display, 11.9"" MBUX touchscreen infotainment, wireless Apple CarPlay/Android Auto,64 ambient lights, wireless charging.",300.0,C-Class,2531.0,2022.0,Compact Cars,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,4.0,1774.6031746031745,65.859
BMW X3 sDrive20i,50800,20810,115600,1997,135,30-Sep-2015,0.52,3,32995,38193,"Maintained at PML until 2022! Almost full agent service records available to date. Well maintained condition, paintwork polished & shiny, clean & tidy interior. Pre-purchase inspection most welcome for an additional peace of mind. Viewing is by appointment only please, thank you.",148.0,X3,21345.0,2015.0,SUV,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1827.6643990929704,66.9945
BMW 3 Series 320i Highline,158800,20200,73900,1998,135,28-Aug-2020,6.43,1,46843,57581,"Sport rims, Apple CarPlay. Cruise control with brake function, auto rain and light sensors, driving assistance, auto tailgate. BMW card key.",9.0,3 Series,6483.0,2020.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1627.6643990929704,59.046
Kia Stinger 2.0A Sunroof,151800,21110,70891,1998,182,30-Jun-2020,6.27,1,33343,38681,"19"" sport rims, leather upholstery, head up display, Bluetooth with CarPlay, reverse camera/sensor.",59.0,Stinger,7950.0,2020.0,Sedan,V6,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1736.5079365079364,60.18150000000001
Toyota Corolla Altis 1.6A,47900,15000,80200,1598,90,26-Oct-2016,2.59,2,17982,17982,"Leather seats, sports rims, factory fitted audio system, Bluetooth.",364.0,Corolla,20697.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,4-speed automatic,5.0,1278.9115646258504,49.962
Volkswagen Tiguan 1.4A TSI BMT,48800,16100,107407,1390,118,22-Apr-2016,2.08,3,27534,30548,"Lowest asking depreciation on the market! Well kept condition, shiny and polished paintwork, clean and tidy interior. Great condition mechanically, no funny sounds. Engine and gearbox smooth and powerful. Pre-purchase checks available for an added peace of mind. Viewing is by appointment only please, thank you.",392.0,Tiguan,20995.0,2016.0,SUV,I4,premium unleaded (recommended),front wheel drive,6-speed shiftable automatic,5.0,1543.764172335601,63.58800000000001
Volvo S60 2.0T ,42800,9820,130000,1984,132,31-Jul-2008,4.36,4,35244,35244,"Original condition! Beautifully maintained, exterior shiny and polished, interior is clean and tidy. No funny sounds, engine and transmission smooth. Full loan available at only $1025/month. Viewing is by appointment only please, thank you.",88.0,S60,40299.0,2008.0,Sedan,5.0,Gasoline,Front,Automatic,5.0,1597.732426303855,68.13
Honda Jazz 1.5M ,68800,11450,230000,1497,88,26-Mar-2010,6.01,3,21360,21360,"HKS Exhaust system, ZerOne coilovers. Upgraded Android Player. Oz 15"" Rims.",honda,Jazz,1.2 i-Vtec,2010.0,Hatchback,4.0,Gasoline - Premium,Front,Manual,5.0,1047.0,42.0
BMW X1 sDrive20i,63900,17870,106000,1998,141,30-Sep-2016,2.52,3,32595,37633,"Front large touch screen monitor with GPS & youtube capabilities & reverse camera. Key alarm, reverse sensors, black alloy rims, leather upholstery.",147.0,X1,18442.0,2016.0,SUV,I4,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,1659.863945578231,60.938500000000005
Honda CR-V 2.4A Sunroof,43888,17870,88000,2354,140,29-Sep-2015,0.52,1,29593,33431,"Premium upholstery leather, upgraded 17"" sport rims, factory fitted audio system, high grade solar films, reverse sensor/camera, spacious boot space.",217.0,CR-V,22399.0,2015.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1558.7301587301588,57.910500000000006
BMW X4 xDrive30i M-Sport,216800,26980,83334,1998,185,19-Oct-2020,6.57,2,59276,78697,"Apple CarPlay, Android Auto, lane departure warning, leather steering wheel, reverse camera, electric brake, keyless start/stop/entry, rear aircon.",149.0,X4,6551.0,2020.0,SUV,I6,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,2081.6326530612246,65.102
Subaru Outback 2.5i-S Sunroof,47800,14270,124348,2498,129,9-Sep-2016,2.46,1,23721,25210,"Spacious and Sporty SUV for sales. Lowest depreciation in the market. Well maintained mechanically, no funny sounds in cabin. Pre-purchase inspection welcome for a peace of mind. Viewing is by appointment only please, thank you.",81.0,Outback,20650.0,2016.0,SUV,flat 4,regular unleaded,all wheel drive,continuously variable-speed automatic,5.0,1629.4784580498865,70.02250000000001
Kia Sorento Diesel 2.2A CRDi,52800,15960,120000,2199,147,17-Jun-2016,2.24,1,30166,34233,"Agent unit! Extremely spacious and comfortable 7 seaters. Well groomed and polished paintwork, clean and tidy interior. Pre-purchase checks welcome for an added peace of mind. Flexible financing options, full loan is available with high approval rates. Viewing is by appointment only please, thank you.",261.0,Sorento,19815.0,2016.0,SUV,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1758.7301587301586,71.158
Volkswagen Golf Cabriolet 1.4A TSI ,107800,10770,66425,1390,118,30-Apr-2014,10.0,2,35593,36831,Original genuine leather upholstery. Reversing camera/sensors. Multi function steering wheel.,419.0,Golf,26293.0,2014.0,Compact Cars,5.0,Regular Unleaded,Front Wheel Driv,Automatic,5.0,1406.8027210884354,54.8825
Honda Fit 1.3A G ,49800,11330,136000,1339,73,14-Aug-2008,4.39,5,11799,12979,"Leather seats, reverse sensors, knockdown rear seats, upgraded CD player.",439.0,Fit,39069.0,2008.0,Hatchback,4.0,Gasoline,Front,Manual,5.0,1140.136054421769,40.87800000000001
Audi A4 1.4A TFSI S-tronic,50500,16990,105000,1395,110,28-Apr-2016,2.01,1,34065,29691,"Audi MMI with Bluetooth, multi function steering with paddle shifter, electric leather seats, reverse camera/sensors, rear climatic aircon.",104.0,A4,18287.0,2016.0,Sedan,I4,premium unleaded (required),front wheel drive,continuously variable-speed automatic,5.0,1624.9433106575964,60.938500000000005
MINI Cooper Countryman 1.6A ,63300,12650,88000,1598,88,25-Feb-2014,5.0,2,25249,27349,"Sports rims, multi function steering, radio system, auto headlights.",575.0,Cooper,25568.0,2014.0,Mini Compact Cars,4.0,Premium Unleaded (Required),Front Wheel Driv,Manual,4.0,1181.40589569161,43.906
Toyota Camry Hybrid 2.5A Ascent Sport,138800,18910,34000,2487,160,27-Oct-2020,6.59,1,32802,27923,"Original factory fitted media player, factory fitted fabric seats, rear aircon, reverse camera and sensors. Apple Carplay/Android Auto.",84.0,Camry,8859.0,2020.0,Sedan,I4,regular unleaded,front wheel drive,8-speed shiftable automatic,5.0,1469.84126984127,54.8825
Mercedes-Benz E-Class E200 Avantgarde,94800,23340,90000,1991,135,16-Nov-2016,2.65,1,52106,65791,"An eye catcher with redesigned front and tail lamps, broad shoulders. Discover a sporty, exclusive design like you've never seen before.",303.0,E-Class,20062.0,2016.0,Wagon,V8,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,2094.784580498866,79.8635
Volkswagen Jetta GP 1.4A TSI Trendline,58888,19450,120000,1390,90,28-Oct-2016,2.6,3,16656,16656,"Carbon interior, Ori PF07 w re004, strengthened chassis, GTI 7R Steering & Brake Kit, MTS Technik coilover, MST intake, Bastuck exhaust w cert & more.",388.0,Jetta,20957.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1371.8820861678005,54.8825
BMW X1 sDrive18i,121800,17930,81000,1499,103,18-Oct-2019,5.57,1,36901,43662,"Auto LED headlights. LED DRL. Keyless entry/start. Navigation, front and rear sensors with camera. Front electric seats driver memory, auto tailgate.",147.0,X1,9395.0,2019.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1606.8027210884354,60.938500000000005
BMW 2 Series 216d Gran Tourer Luxury,44800,18480,106600,1496,85,19-Dec-2015,0.74,1,30843,25181,"Factory fitted audio system with Bluetooth/navi, BMW in car camera, reverse camera, contactless boot release tailgate, memory seats.",140.0,2 Series,21253.0,2015.0,Convertible,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,4.0,1643.9909297052154,51.8545
Mitsubishi Outlander 2.4A Sunroof,38800,14830,110000,2360,123,29-Jan-2016,0.85,2,21859,22603,Driver electric seats.Electric parking brake.Multi zone aircon. Leather seats. Halogen headlights.Paddle shifters.Auto fold mirrors.,322.0,Outlander Sport,20146.0,2016.0,SUV,I4,regular unleaded,front wheel drive,5-speed manual,5.0,1375.0566893424036,62.83100000000001
Honda Stream 1.8A X ,55800,12550,116000,1799,103,2-Sep-2008,4.44,2,17513,17513,"sports rims, Android player with reverse camera, reverse sensors, knockdown rear seats, front and rear recorder camera, door visor.",honda,Stream,1.7i ES,2008.0,Minivan,4.0,Gasoline - Premium,Front,Manual,7.0,1434.0,55.0
MINI Cooper S 1.6A Sunroof ,115800,12590,119960,1598,135,10-Dec-2013,9.19,3,29879,28831,"Reverse camera, Apple CarPlay, auto headlights, multi functional steering wheel, leather seats, retractable Sunroof, union jack tail lamp, lufi gauge.",575.0,Cooper ,28020.0,2013.0,Hatchback,4.0,Gasoline,Front,6-speed manual ,4.0,1149.659863945578,49.962
Nissan Note 1.2A,55900,12260,47500,1198,58,30-Jul-2018,4.35,2,13305,5000,"Front screen monitor with reverse camera & GPS maps, reverse sensors,15"" alloy rims, factory fitted full skirtings & Rear Spoiler, leather upholstery.",498.0,Versa Note,14576.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1121.9954648526077,40.87800000000001
Porsche Macan GTS 3.0A PDK,175777,48430,94000,2997,265,9-Jun-2016,2.21,3,91729,137113,"Original LED Headlamp With PDLS+, Red Contrast Stitching, GTS Logo Embroidery On All Headrests, 360 Surround Camera, Bose Sound System, Navi And More!",341.0,Macan,20362.0,2016.0,SUV,V6,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1864.8526077097504,74.94300000000001
